Time,Count
1541615029.84,55
1541615195.97,55
1541622791.98,44
1541623503.1,45
1541624479.35,48
1541624632.67,48
1541624717.89,49
1541625487.01,53
1541625585.4,53
1541626075.07,50
1541626431.58,50
1541626926.42,48
